,molecule_chembl_id,units,IC50,smiles,pIC50
44,CHEMBL426001,nM,606.0,O=C1NCCc2[nH]c(-c3ccnc(-c4ccccc4Cl)c3)cc21,6.217527375833714
45,CHEMBL374177,nM,21.0,O=C1NCCc2[nH]c(-c3ccnc(-c4ccc(O)cc4)c3)cc21,7.6777807052660805
46,CHEMBL388619,nM,25.0,O=C1NCCc2[nH]c(-c3ccnc(-c4cccc(O)c4)c3)cc21,7.6020599913279625
47,CHEMBL226405,nM,410.0,O=C1NCCc2[nH]c(-c3ccnc(-c4ccccc4O)c3)cc21,6.3872161432802645
48,CHEMBL226403,nM,8.5,O=C1NCCc2[nH]c(-c3ccnc(-c4cnc5ccccc5c4)c3)cc21,8.070581074285707
49,CHEMBL226351,nM,30.0,O=C1NCCc2[nH]c(-c3ccnc(-c4cc5ccccc5s4)c3)cc21,7.522878745280337
50,CHEMBL226350,nM,52.0,O=C1NCCc2[nH]c(-c3ccnc(-c4ccc5ccccc5c4)c3)cc21,7.2839966563652006
51,CHEMBL388391,nM,76.0,O=C1NCCc2[nH]c(-c3ccnc(-c4ccsc4)c3)cc21,7.119186407719209
52,CHEMBL390601,nM,83.0,O=C1NCCc2[nH]c(-c3ccnc(-c4cncnc4)c3)cc21,7.080921907623926
53,CHEMBL225975,nM,48.0,O=C1NCCc2[nH]c(-c3ccnc(-c4cccnc4)c3)cc21,7.318758762624412
54,CHEMBL225973,nM,56.0,O=C1NCCc2[nH]c(-c3ccnc(-c4ccncc4)c3)cc21,7.251811972993799
55,CHEMBL388566,nM,66.0,O=C1NCCc2[nH]c(-c3ccnc(-c4ccccc4)c3)cc21,7.180456064458131
56,CHEMBL226232,nM,608.0,O=C1NCCc2[nH]c(-c3ccnc(Cl)c3)cc21,6.216096420727265
57,CHEMBL230761,nM,87100.0,Cn1cnc(CNc2cc(Br)c3ncc(C#N)c(Nc4ccc(F)c(Cl)c4)c3c2)c1,4.059981844992337
58,CHEMBL230232,nM,35800.0,N#Cc1cnc2c(Br)cc(NCc3c[nH]nn3)cc2c1Nc1ccc(F)c(Cl)c1,4.446116973356125
59,CHEMBL395573,nM,40100.0,N#Cc1cnc2c(Cl)cc(NCc3cccc[n+]3[O-])cc2c1Nc1ccc(F)c(Cl)c1,4.396855627379818
60,CHEMBL436817,nM,40200.0,N#Cc1cnc2c(Cl)cc(NCc3cnc[nH]3)cc2c1Nc1ccc(F)c(Cl)c1,4.39577394691553
61,CHEMBL230654,nM,62700.0,CCCc1[nH]cnc1CNc1cc(Cl)c2ncc(C#N)c(Nc3ccc(F)c(Cl)c3)c2c1,4.202732459169283
62,CHEMBL397819,nM,2500.0,N#Cc1c(N)nc2c(c1N)Cc1cc(O)c(O)cc1O2.O=C(O)C(F)(F)F,5.6020599913279625
63,CHEMBL395157,nM,2500.0,COc1ccc2[nH]c3c(c2c1)CCNC3C(=O)O,5.6020599913279625
64,CHEMBL247138,nM,42000.0,COc1cccc2[nH]c3c(c12)CCNC3C(=O)O,4.376750709602099
65,CHEMBL395352,nM,13000.0,COc1ccc2[nH]c3c(c2c1)C1CCN(C1)C3C(=O)OC(C)c1ccccc1,4.886056647693163
66,CHEMBL245862,nM,3270.0,C=CCOC(=O)C1c2[nH]c3ccc(OC)cc3c2C2CCN1C2,5.485452247339714
67,CHEMBL245662,nM,10100.0,CCCOC(=O)C1c2[nH]c3ccc(OC)cc3c2C2CCN1C2,4.995678626217358
68,CHEMBL245661,nM,7090.0,COc1ccc2[nH]c3c(c2c1)C1CCN(C1)C3C(=O)OCc1ccccc1,5.149353764816933
69,CHEMBL394125,nM,29300.0,CCOC(=O)C1c2[nH]c3ccc(OC)cc3c2C2CCN1C2,4.533132379645891
70,CHEMBL394124,nM,5100.0,COc1ccc2[nH]c3c(c2c1)C1CCCN(C1)C3C(=O)O,5.292429823902063
71,CHEMBL392876,nM,290.0,COc1ccc2[nH]c3c(c2c1)C1CCN(C1)C3C(=O)O,6.537602002101044
72,CHEMBL248525,nM,5900.0,COc1ccc2[nH]c3c(c2c1)CC(CN)NC3C(=O)O,5.229147988357855
73,CHEMBL392665,nM,3000.0,COc1ccc2[nH]c3c(c2c1)CC(CO)NC3C(=O)O,5.522878745280337
74,CHEMBL247911,nM,64000.0,CCC1Cc2c([nH]c3ccc(OC)cc23)C(C(=O)O)N1,4.1938200260161125
75,CHEMBL247707,nM,7100.0,COc1ccc2[nH]c3c(c2c1)CC(C)NC3C(=O)O,5.1487416512809245
76,CHEMBL248317,nM,16000.0,COc1ccc2[nH]c3c(c2c1)C(Cc1ccccc1)CNC3C(=O)O,4.795880017344075
77,CHEMBL248316,nM,2200.0,CCC1CNC(C(=O)O)c2[nH]c3ccc(OC)cc3c21,5.657577319177793
78,CHEMBL248110,nM,2200.0,COc1ccc2[nH]c3c(c2c1)C(C)CNC3C(=O)O,5.657577319177793
79,CHEMBL248313,nM,130000.0,COc1ccc2[nH]c3c(c2c1)CCNC3c1nn[nH]n1,3.886056647693163
80,CHEMBL248312,nM,88000.0,COc1ccc2[nH]c3c(c2c1)CCNC3C(=O)NO,4.055517327849832
81,CHEMBL395132,nM,47000.0,COC(=O)C1NCCc2c1[nH]c1ccc(OC)cc21,4.327902142064283
